Nes,rep,N,r,window_1,window_2
12.0,40,1000,0.0001,0.021563964573228827,0.029297158441922214
0.0,123,1000,0.0001,0.023127068639432063,0.027818704859243128
4.0,37,1000,0.0001,0.032179526757338144,0.028987512647632503
1.0,18,1000,0.0001,0.028660476947847513,0.02678170541327076
0.01,29,1000,0.0001,0.029098275028751543,0.03266882910045511
20.0,21,1000,0.0001,0.02574811337466893,0.023123566558327986
8.0,46,1000,0.0001,0.030923045419271194,0.025182467858393055
50.0,7,1000,0.0001,0.030181055119756047,0.02728611867493388
50.0,25,1000,0.0001,0.022938727392369712,0.026760864984249285
5.0,28,1000,0.0001,0.029194794279714182,0.029297907484374264
5.0,3,1000,0.0001,0.028916249991499707,0.022448076229811566
20.0,39,1000,0.0001,0.02776566621831103,0.03047695306065305
0.0,0,1000,0.0001,0.02138874462323131,0.025411149774488807
0.2,47,1000,0.0001,0.02698732655832802,0.02569096091204567
0.0,122,1000,0.0001,0.029391362786139415,0.023306375998799984
30.0,49,1000,0.0001,0.029293736856842997,0.032610116091804774
8.0,16,1000,0.0001,0.024941598627931414,0.020456153754687834
0.01,19,1000,0.0001,0.02838609154757755,0.027073377275863897
0.0,157,1000,0.0001,0.019528026416320943,0.017567911656582915
0.5,11,1000,0.0001,0.026880586942347254,0.019116006542327254
200.0,32,1000,0.0001,0.027854289419471115,0.024277697636881927
0.2,13,1000,0.0001,0.02736037216960859,0.02498459869793499
100.0,19,1000,0.0001,0.029604531682584225,0.024408333893694744
0.05,21,1000,0.0001,0.0285071678563929,0.03000415289264476
0.2,14,1000,0.0001,0.021979833858693017,0.0275340002360119
15.0,20,1000,0.0001,0.026185885532276718,0.02770861199459994
0.02,46,1000,0.0001,0.030702524676233953,0.030890344954247796
10.0,15,1000,0.0001,0.02080084525426284,0.0266824010950549
5.0,30,1000,0.0001,0.029986522815140835,0.03157838765438288
0.05,28,1000,0.0001,0.027035580523026174,0.026397379071953667
22.0,26,1000,0.0001,0.028486644740237172,0.026403589437471942
5.0,11,1000,0.0001,0.027545666127306488,0.02129484577328879
12.0,49,1000,0.0001,0.019378201136056903,0.02046960724236222
25.0,25,1000,0.0001,0.022374718158908097,0.020220737961898216
4.0,48,1000,0.0001,0.019253779365968414,0.0184112192499626
0.1,3,1000,0.0001,0.02774541228961462,0.029807133253662813
20.0,23,1000,0.0001,0.024289327837391995,0.02947921394769749
0.5,47,1000,0.0001,0.02642614951447585,0.02778172283014171
2.0,3,1000,0.0001,0.025645614344717352,0.027160349165458477
0.1,22,1000,0.0001,0.021465334513725797,0.03008881850892556
0.2,23,1000,0.0001,0.026393064296214987,0.02363819658582938
0.1,39,1000,0.0001,0.024385422971148752,0.027129113934696945
30.0,27,1000,0.0001,0.02855652602630138,0.03002500866943363
10.0,36,1000,0.0001,0.02457945627581386,0.025510275691784656
28.0,2,1000,0.0001,0.017698081930096612,0.027082893718686024
0.0,7,1000,0.0001,0.027730721535076885,0.030143191449572594
15.0,49,1000,0.0001,0.024315828583429313,0.02432611036151814
